Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]
Salomon_082520_rerun_TMT1_control_SF01	2	Trypsin	Specific			False	Oxidation (M);Phospho (STY);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		8746	13035	13031	15582	10488	0	5094	2155	1988	0	167	14	19	0	3.3	1290	267526	9862	3.7	1556	16	25411	7534	7163	30	48	1768	23	+	0.23549	0.428	140790	150830
Salomon_082520_rerun_TMT1_control_SF02	2	Trypsin	Specific			False	Oxidation (M);Phospho (STY);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		7092	14976	14975	18189	11763	0	6426	2567	2354	0	213	14	20	0	3.3	1667	210217	10968	5.2	1738	16	24501	8326	7987	34	48	1870	22	+	0.27161	0.44371	148410	158900
Salomon_082520_rerun_TMT1_control_SF03	2	Trypsin	Specific			False	Oxidation (M);Phospho (STY);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6824	15519	15516	18387	12651	0	5736	2916	2718	0	198	16	21	0	3.5	1882	200685	11412	5.7	1903	17	25832	8794	8517	34	46	2117	24	+	1.6156	1.6542	155130	164800
Salomon_082520_rerun_TMT1_control_SF04	2	Trypsin	Specific			False	Oxidation (M);Phospho (STY);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6388	16333	16332	19109	13557	0	5552	3272	3072	0	200	17	23	0	3.6	2137	197310	12089	6.1	1905	16	28131	9703	9418	34	47	2161	22	+	0.56832	0.6731	158480	168190
Salomon_082520_rerun_TMT1_control_SF05	2	Trypsin	Specific			False	Oxidation (M);Phospho (STY);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6540	15973	15971	18453	13493	0	4960	3183	3052	0	131	17	23	0	2.6	2186	209628	12182	5.8	1700	14	28307	10010	9708	35	46	1973	20	+	0.59495	0.67985	160910	169980
Salomon_082520_rerun_TMT1_control_SF06	2	Trypsin	Specific			False	Oxidation (M);Phospho (STY);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		7337	14743	14741	16963	12523	0	4440	2663	2523	0	140	16	20	0	3.2	1780	232545	10752	4.6	1728	16	27930	8817	8465	32	46	1947	22	+	3.091	3.1058	156900	166730
Salomon_082520_rerun_TMT1_control_SF07	2	Trypsin	Specific			False	Oxidation (M);Phospho (STY);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		7412	14519	14514	16839	12199	0	4640	2511	2384	0	127	15	20	0	2.7	1689	225234	10607	4.7	1681	16	26393	8571	8263	32	46	1902	22	+	0.38704	0.5535	158510	168070
Salomon_082520_rerun_TMT1_control_SF08	2	Trypsin	Specific			False	Oxidation (M);Phospho (STY);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		7306	14814	14809	17418	12210	0	5208	2588	2420	0	168	15	20	0	3.2	1735	220243	10970	5	1728	16	26386	8689	8396	33	47	1955	22	+	0.23929	0.47418	155700	165570
Salomon_082520_rerun_TMT1_control_SF09	2	Trypsin	Specific			False	Oxidation (M);Phospho (STY);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		7780	14240	14233	16935	11545	0	5390	2144	1994	0	150	13	17	0	2.8	1505	226092	10330	4.6	1627	16	25780	8176	7868	32	46	1756	21	+	1.269	1.3154	151660	161620
Salomon_082520_rerun_TMT1_control_SF10	2	Trypsin	Specific			False	Oxidation (M);Phospho (STY);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		7653	14339	14330	16769	11909	0	4860	2337	2179	0	158	14	18	0	3.3	1626	232542	10468	4.5	1653	16	27078	8475	8138	31	45	1779	21	+	0.23522	0.43857	155160	165050
